Roll: 1301ME27
Semester Wise Details
Sem,Subject,Credits,Grade,Type
1,CH101,8,CD,CORE
1,CH110,3,BC,CORE
1,EE101,8,BC,CORE
1,HS101,6,CC,CORE
1,MA101,8,CD,CORE
1,ME110,3,CC,CORE
1,ME111,7,AB,CORE
1,PH101,6,CD,CORE
2,CH102,6,BC,CORE
2,CS101,6,BC,CORE
2,CS110,3,BB,CORE
2,EE102,4,BB,CORE
2,MA102,8,BC,CORE
2,ME101,8,BB,CORE
2,PH102,6,CC,CORE
2,PH110,3,BB,CORE
3,CS201,9,AB,CORE
3,HS241,6,BB,HS Elective
3,MA201,8,CC,CORE
3,ME201,6,BB,CORE
3,ME204,6,BB,CORE
3,ME205,8,BB,CORE
3,ME211,4,AB,CORE
4,EE280,6,CD,CORE
4,EE281,3,AB,CORE
4,HS221,6,BC,HS Elective
4,ME202,6,CC,CORE
4,ME203,6,BC,CORE
4,ME206,6,CC,CORE
4,ME210,6,CC,CORE
4,ME212,4,AB,CORE
4,PH201,6,BC,Science Elective
5,HS351,6,AB,HS Elective
5,ME301,8,CD,CORE
5,ME302,6,CC,CORE
5,ME303,8,CC,CORE
5,ME304,6,CD,CORE
5,ME305,8,CC,CORE
5,ME310,4,BC,CORE
5,ME321,6,CC,CORE
6,HS311,6,BB,HSS Electives
6,ME306,8,CD,CORE
6,ME307,8,DD,CORE
6,ME308,6,BC,CORE
6,ME309,8,CC,CORE
6,ME311,4,BC,CORE
6,ME322,6,CC,CORE
7,HS451,6,AB,Open Elective - I
7,ME400,2,AB,CORE
7,ME401,8,BC,CORE
7,ME411,4,BB,CORE
7,ME498,8,BB,CORE
7,ME501,6,CD,Department Elective - II
7,ME533,6,DD,Department Elective - I
8,CB412,6,CD,Open Elective - II
8,HS441,6,BC,HS Elective
8,ME499,16,BB,CORE
8,ME544,6,CC,Department Elective - IV
8,ME547,6,CC,Department Elective - III
