Roll: 1301CE10
Semester Wise Details
Sem,Subject,Credits,Grade,Type
1,CH101,8,BB,CORE
1,CH110,3,BB,CORE
1,EE101,8,AB,CORE
1,HS101,6,BC,CORE
1,MA101,8,BC,CORE
1,ME110,3,BB,CORE
1,ME111,7,AA,CORE
1,PH101,6,BB,CORE
2,CH102,6,BC,CORE
2,CS101,6,BB,CORE
2,CS110,3,AA,CORE
2,EE102,4,BB,CORE
2,MA102,8,BB,CORE
2,ME101,8,CC,CORE
2,PH102,6,CD,CORE
2,PH110,3,AB,CORE
3,CE201,6,AB,CORE
3,CE203,6,BB,CORE
3,CE205,6,CC,CORE
3,CE207,3,AB,CORE
3,CS201,9,BC,CORE
3,HS201,6,AB,HS Elective
3,MA201,8,CC,CORE
4,CE202,8,CC,CORE
4,CE204,6,AB,CORE
4,CE206,6,BB,CORE
4,CE208,6,CD,CORE
4,CE210,3,AA,CORE
4,CE212,3,BC,CORE
4,HS202,6,CC,HS Elective
4,PH201,6,BC,Science Elective
5,CE301,8,BC,CORE
5,CE303,6,BC,CORE
5,CE305,6,BC,CORE
5,CE307,6,BB,CORE
5,CE309,7,BC,CORE
5,CE311,3,BC,CORE
6,CE302,8,AB,CORE
6,CE304,6,BB,CORE
6,CE306,6,AB,CORE
6,CE308,6,BC,CORE
6,CE310,3,BC,CORE
6,CE312,3,AB,CORE
6,CE313,3,BC,CORE
6,CE316,6,BC,Departmental Elective
6,HS331,6,BC,HSS Electives
7,CE400,2,AB,CORE
7,CE401,6,CC,CORE
7,CE403,6,BB,CORE
7,CE498,8,BB,CORE
7,CE517,6,CC,Department Elective - II
7,CE523,6,BC,Department Elective - I
7,HS451,6,BB,Open Elective - I
8,CB412,6,BB,Open Elective - II
8,CE499,16,BB,CORE
8,CE528,6,BC,Department Elective - IV
8,CE544,6,BC,Department Elective - III
8,HS441,6,BC,HS Elective
